timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2025/12/01 19:52:31.417, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:52:36.419, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:52:41.421, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:52:46.422, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:52:51.424, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:52:56.425, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:01.427, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:06.429, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:11.431, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:16.432, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:21.434, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:26.436, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:31.438, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:36.439, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:41.441, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:46.442, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:51.444, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:56.446, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:54:01.448, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:54:06.450, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:54:11.452, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:54:16.454, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:54:21.455, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:54:26.457, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:54:31.459, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:54:36.460, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:54:41.462, 0, NVIDIA A100-SXM4-80GB, 27 %, 4 %, 81920 MiB, 4373 MiB
2025/12/01 19:54:46.463, 0, NVIDIA A100-SXM4-80GB, 12 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:54:51.465, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:54:56.467, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:55:01.469, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:55:06.470, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:55:11.472, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:55:16.474, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:55:21.476, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:55:26.477, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:55:31.479, 0, NVIDIA A100-SXM4-80GB, 13 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:55:36.481, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:55:41.482, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:55:46.484, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:55:51.485, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:55:56.488, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:56:01.490, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:56:06.492, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:56:11.494, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:56:16.495, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:56:21.497, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:56:26.499, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:56:31.500, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:56:36.502, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:56:41.503, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:56:46.505, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:56:51.506, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:56:56.508, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:57:01.510, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:57:06.512, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:57:11.514, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:57:16.515, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:57:21.517, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:57:26.519, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:57:31.521, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:57:36.523, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:57:41.524, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:57:46.526, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:57:51.528, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:57:56.530, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:58:01.532, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:58:06.534, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:58:11.536, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:58:16.538, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:58:21.539, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:58:26.541, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:58:31.543, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:58:36.544, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:58:41.546, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:58:46.547, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:58:51.548, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:58:56.550, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:59:01.552, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:59:06.553, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
