timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2025/11/29 00:07:31.826, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:07:36.827, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:07:41.829, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:07:46.830, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:07:51.832, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:07:56.833, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:08:01.835, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:08:06.836, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:08:11.839, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:08:16.840, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:08:21.841, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:08:26.843, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:08:31.845, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:08:36.847, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:08:41.848, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:08:46.849, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:08:51.851, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:08:56.852, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:09:01.854, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:09:06.856, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:09:11.857, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:09:16.859, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:09:21.860, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:09:26.862, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:09:31.863, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:09:36.865, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:09:41.866, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:09:46.868, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:09:51.869, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:09:56.871, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:10:01.872, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:10:06.874, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:10:11.876, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:10:16.878, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:10:21.879, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:10:26.881, 0, NVIDIA A100-SXM4-80GB, 12 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:10:31.882, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:10:36.884, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:10:41.885, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:10:46.887, 0, NVIDIA A100-SXM4-80GB, 21 %, 5 %, 81920 MiB, 4377 MiB
2025/11/29 00:10:51.888, 0, NVIDIA A100-SXM4-80GB, 12 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:10:56.891, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:11:01.893, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:11:06.895, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:11:11.896, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:11:16.898, 0, NVIDIA A100-SXM4-80GB, 12 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:11:21.900, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/11/29 00:11:26.901, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
