procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
130  0 147560 98718832  26836 875030400    0    0     0     0 44773 11902 13  0 87  0  0
 4  0 147560 98719392  26836 875030400    0    0     0   134 48940 12897 14  0 85  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
130  0 147560 98065584  26836 875030400    0    0     0     0 68459 11079 22  1 78  0  0
135  0 147560 99090144  26836 875030400    0    0     0     0 72315 19204 14  0 85  0  0
 4  0 147560 99698960  26836 875030400    0    0     0   144 69297 16601 19  1 81  0  0
 3  0 147560 99697864  26836 875030400    0    0     0     0 50328 13953 15  0 84  0  0
131  0 147560 99020368  26836 875030400    0    0     0  2047 105021 37587 25  1 73  0  0
 4  0 147560 99665760  26836 875030464    0    0     0     3 52870 26017 14  1 86  0  0
130  0 147560 99668240  26836 875030464    0    0     0     0 64464 25294 19  1 81  0  0
 3  0 147560 99669712  26836 875030528    0    0     0  1976 93356 24257 23  1 76  0  0
132  0 147560 99668736  26836 875030528    0    0     0     0 58979 27135 17  1 82  0  0
 4  0 147560 99668888  26836 875030528    0    0     0   147 54083 22266 15  1 84  0  0
 3  0 147560 99670976  26836 875030528    0    0     0    96 84748 10069 22  1 78  0  0
 4  0 147560 99669040  26836 875030528    0    0     0     0 55874 13674 17  0 82  0  0
 4  0 147560 99669616  26836 875030528    0    0     0   136 56282 14783 18  0 82  0  0
130  0 147560 99681784  26836 875030528    0    0     0     0 84525 10225 23  1 76  0  0
 4  0 147560 99690928  26836 875030528    0    0     0    12 59619 16137 18  0 82  0  0
132  0 147560 99690888  26836 875030464    0    0     0   608 46382 13093 14  0 85  0  0
 4  0 147560 99687552  26836 875030528    0    0     0   482 72462 9046 19  1 80  0  0
 3  0 147560 99685576  26836 875030528    0    0     0     0 92728 15544 18  0 81  0  0
130  0 147560 99685376  26836 875030528    0    0     0   464 130609 13144 15  0 84  0  0
 3  0 147560 99686272  26836 875030528    0    0     0     0 94607 9606 22  1 77  0  0
